Track URI,Track Name,Artist URI(s),Artist Name(s),Album URI,Album Name,Album Artist URI(s),Album Artist Name(s),Album Release Date,Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Explicit,Popularity,Added By,Added At,,Index
spotify:track:6SRWhUJcD2YKahCwHavz3X,Darkside,"spotify:artist:7vk5e3vY1uw9plTHJAMwjN, spotify:artist:1eMmoIprPDWeFdB1FxU6ZV, spotify:artist:6064pL9Hu3Wx2bwJMeOx6o","Alan Walker, Au/Ra, Tomine Harket",spotify:album:3nzuGtN3nXARvvecier4K0,Different World,spotify:artist:7vk5e3vY1uw9plTHJAMwjN,Alan Walker,14-12-2018,https://i.scdn.co/image/ab67616d0000b273a108e07c661f9fc54de9c43a,1,11,211680,https://p.scdn.co/mp3-preview/b5e08f76dc4dab3e678030570da21472990d761e?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,72,spotify:user:6lvql4lfbafry09uhcovjqpv9,2022-05-29T12:44:42Z,,0
spotify:track:3u1S1OmAUhx5DRlLrXqyp3,Rise,"spotify:artist:1HBjj22wzbscIZ9sEb5dyf, spotify:artist:1INuLZXjjVbcJRyWvD1iSq","Jonas Blue, Jack & Jack",spotify:album:3KjCdhPbjbLptyJzviKu4P,Rise,"spotify:artist:1HBjj22wzbscIZ9sEb5dyf, spotify:artist:1INuLZXjjVbcJRyWvD1iSq","Jonas Blue, Jack & Jack",25-05-2018,https://i.scdn.co/image/ab67616d0000b273ffe7d26c10ff0a32aeea2dc3,1,1,194407,https://p.scdn.co/mp3-preview/5ec55e481ac31fad0d3cca74594bee176500258e?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,67,spotify:user:6lvql4lfbafry09uhcovjqpv9,2022-05-29T12:44:42Z,,1
spotify:track:18YRKiIZO4qDEc5Ik0Cry6,FRIENDS - R3hab Remix,"spotify:artist:64KEffDW9EtZ1y2vBYgq8T, spotify:artist:1zNqDE7qDGCsyzJwohVaoX, spotify:artist:6cEuCEZu7PAE9ZSzLLc2oQ","Marshmello, Anne-Marie, R3HAB",spotify:album:2KBVjOOFq54CcaHTxItDhl,FRIENDS (R3hab Remix),"spotify:artist:64KEffDW9EtZ1y2vBYgq8T, spotify:artist:1zNqDE7qDGCsyzJwohVaoX, spotify:artist:6cEuCEZu7PAE9ZSzLLc2oQ","Marshmello, Anne-Marie, R3HAB",23-03-2018,https://i.scdn.co/image/ab67616d0000b2737160bee4867ee564b195d93e,1,1,157142,https://p.scdn.co/mp3-preview/e2898bbfe10408ca928589d22e2b01d9f23a31c1?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,57,spotify:user:6lvql4lfbafry09uhcovjqpv9,2022-05-29T12:44:42Z,,2
spotify:track:09IStsImFySgyp0pIQdqAc,The Middle,"spotify:artist:2qxJFvFYMEDqd7ui6kSAcq, spotify:artist:6WY7D3jk8zTrHtmkqqo5GI, spotify:artist:4lDBihdpMlOalxy1jkUbPl","Zedd, Maren Morris, Grey",spotify:album:7nEiwcUSwycvC77kZ9ub7c,The Middle,"spotify:artist:2qxJFvFYMEDqd7ui6kSAcq, spotify:artist:6WY7D3jk8zTrHtmkqqo5GI, spotify:artist:4lDBihdpMlOalxy1jkUbPl","Zedd, Maren Morris, Grey",23-01-2018,https://i.scdn.co/image/ab67616d0000b273fbe22d168a743b782a5e856a,1,1,184732,https://p.scdn.co/mp3-preview/0888eaf5d30f8a58b95b6a79f3e3bdf0f4a40d72?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,79,spotify:user:6lvql4lfbafry09uhcovjqpv9,2022-05-29T12:44:42Z,,3
spotify:track:0E9ZjEAyAwOXZ7wJC0PD33,In My Mind,"spotify:artist:3v6Ji4uoWtKRkhuDUaxi9n, spotify:artist:1OAjDaKgg00KCUYqDe68un","Dynoro, Gigi D'Agostino",spotify:album:1c79SozES9Eb3Lzf9KVaIa,In My Mind,"spotify:artist:3v6Ji4uoWtKRkhuDUaxi9n, spotify:artist:1OAjDaKgg00KCUYqDe68un","Dynoro, Gigi D'Agostino",08-06-2018,https://i.scdn.co/image/ab67616d0000b27328a8a05c3a7ba952c7615ab9,1,1,184560,https://p.scdn.co/mp3-preview/14d056cbf98e9933ae0877c1cb9cde0ed708281e?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,77,spotify:user:6lvql4lfbafry09uhcovjqpv9,2022-05-29T12:44:42Z,,4
spotify:track:6jreFSOTUAViWjKyzOC4Kg,REMEDY,spotify:artist:4AVFqumd2ogHFlRbKIjp1t,Alesso,spotify:album:0LOJHhz9ybWLVMLucHYtCe,REMEDY,spotify:artist:4AVFqumd2ogHFlRbKIjp1t,Alesso,31-08-2018,https://i.scdn.co/image/ab67616d0000b273a7479865ef51d138ace4bafc,1,1,190295,https://p.scdn.co/mp3-preview/b6d706b0bb0321fe9dfbc41a7527af96439023e6?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,64,spotify:user:6lvql4lfbafry09uhcovjqpv9,2022-05-29T12:44:42Z,,5
spotify:track:58kZ9spgxmlEznXGu6FPdQ,Sick Boy,spotify:artist:69GGBxA162lTqCwzJG5jLp,The Chainsmokers,spotify:album:6ZvDJs17O3woQirttKRYCG,Sick Boy,spotify:artist:69GGBxA162lTqCwzJG5jLp,The Chainsmokers,14-12-2018,https://i.scdn.co/image/ab67616d0000b2738e26bf4293c9da7a6439607b,1,6,193200,https://p.scdn.co/mp3-preview/9d90e9cb5268ee92aee2cbc53eeb6eff404b8458?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,68,spotify:user:6lvql4lfbafry09uhcovjqpv9,2022-05-29T12:44:42Z,,6
spotify:track:59D6pNWyn8UXPpos5fbAqm,We Don't Care,"spotify:artist:1IueXOQyABrMOprrzwQJWN, spotify:artist:7gAppWoH7pcYmphCVTXkzs","Sigala, The Vamps",spotify:album:61WP4ib1ymirffKzyBICzG,We Don't Care,"spotify:artist:1IueXOQyABrMOprrzwQJWN, spotify:artist:7gAppWoH7pcYmphCVTXkzs","Sigala, The Vamps",27-07-2018,https://i.scdn.co/image/ab67616d0000b273165f762ed7da5eaff75a3379,1,1,207429,https://p.scdn.co/mp3-preview/c4d6cbfb69a353bd5b8f4046efcf8f29aaa5b538?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,49,spotify:user:6lvql4lfbafry09uhcovjqpv9,2022-05-29T12:44:42Z,,7
spotify:track:1jLsirPDkUS2g4gnkYua58,Ignite,"spotify:artist:7vk5e3vY1uw9plTHJAMwjN, spotify:artist:2Tg0aF5cbZktYFzgR1iAKv, spotify:artist:6pWcSL9wSJZQ9ne0TnhdWr, spotify:artist:20j1uz7iDOtIvIzCr5S8nx","Alan Walker, Julie Bergan, K-391, SEUNGRI",spotify:album:6Rg9tJW4DSAUyNp59VXzu1,Ignite,"spotify:artist:6pWcSL9wSJZQ9ne0TnhdWr, spotify:artist:7vk5e3vY1uw9plTHJAMwjN, spotify:artist:2Tg0aF5cbZktYFzgR1iAKv","K-391, Alan Walker, Julie Bergan",11-05-2018,https://i.scdn.co/image/ab67616d0000b273eaee7835ad1cd0c435edd7cf,1,1,210288,https://p.scdn.co/mp3-preview/2cf5548e17b77294fd8ec8bdfc1dc3f28ad32882?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,69,spotify:user:6lvql4lfbafry09uhcovjqpv9,2022-05-29T12:44:42Z,,8
spotify:track:0gn93i7HJt0calph67R5Wu,WTF (feat. Amber Van Day),"spotify:artist:5PlfkPxwCpRRWQJBxCa0By, spotify:artist:6NFRBhq9SmNn1FAiRs9AEf","HUGEL, Amber Van Day",spotify:album:6S7cBAToQ2mje6G1r2AKWS,WTF (feat. Amber Van Day),"spotify:artist:5PlfkPxwCpRRWQJBxCa0By, spotify:artist:6NFRBhq9SmNn1FAiRs9AEf","HUGEL, Amber Van Day",30-11-2018,https://i.scdn.co/image/ab67616d0000b2737906aea23909ce4932ceae2a,1,1,160686,https://p.scdn.co/mp3-preview/b5319e47ee5aa76a002e8633c228dba0c43d1644?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,62,spotify:user:6lvql4lfbafry09uhcovjqpv9,2022-05-29T12:44:42Z,,9
